Namespace(exp_name='exp', model='dgcnn', dataset='S3DIS', test_area='2', batch_size=16, test_batch_size=8, epochs=100, use_sgd=False, lr=0.001, step_size=10, lr_decay=0.7, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20)
Train 0, loss: 0.120762, train acc: 0.957814, train avg acc: 0.955665, train iou: 0.913812
Test 0, loss: 0.073685, test acc: 0.978121, test avg acc: 0.977097, test iou: 0.956754
Train 1, loss: 0.076064, train acc: 0.974542, train avg acc: 0.973136, train iou: 0.946448
Test 1, loss: 0.063354, test acc: 0.978678, test avg acc: 0.979436, test iou: 0.957949
Train 2, loss: 0.066241, train acc: 0.977636, train avg acc: 0.976155, train iou: 0.952469
Test 2, loss: 0.080977, test acc: 0.970809, test avg acc: 0.970438, test iou: 0.942035
Train 3, loss: 0.062041, train acc: 0.978968, train avg acc: 0.977581, train iou: 0.955267
Test 3, loss: 0.056138, test acc: 0.981592, test avg acc: 0.980459, test iou: 0.963049
Train 4, loss: 0.057240, train acc: 0.980557, train avg acc: 0.979179, train iou: 0.958459
Test 4, loss: 0.049053, test acc: 0.982885, test avg acc: 0.983581, test iou: 0.966000
Train 5, loss: 0.055773, train acc: 0.981077, train avg acc: 0.979730, train iou: 0.959551
Test 5, loss: 0.045956, test acc: 0.984693, test avg acc: 0.985093, test iou: 0.969520
Train 6, loss: 0.054878, train acc: 0.981313, train avg acc: 0.979947, train iou: 0.959956
Test 6, loss: 0.046177, test acc: 0.984500, test avg acc: 0.983861, test iou: 0.969041
Train 7, loss: 0.052928, train acc: 0.982018, train avg acc: 0.980699, train iou: 0.961476
Test 7, loss: 0.041947, test acc: 0.985886, test avg acc: 0.985717, test iou: 0.971735
Train 8, loss: 0.051507, train acc: 0.982390, train avg acc: 0.981088, train iou: 0.962236
Test 8, loss: 0.049614, test acc: 0.984199, test avg acc: 0.984758, test iou: 0.968653
Train 9, loss: 0.051100, train acc: 0.982595, train avg acc: 0.981320, train iou: 0.962706
Test 9, loss: 0.062937, test acc: 0.977427, test avg acc: 0.978033, test iou: 0.955835
Train 10, loss: 0.050796, train acc: 0.982767, train avg acc: 0.981398, train iou: 0.962925
Test 10, loss: 0.042760, test acc: 0.985175, test avg acc: 0.984904, test iou: 0.970322
Train 11, loss: 0.049668, train acc: 0.983048, train avg acc: 0.981793, train iou: 0.963664
Test 11, loss: 0.040221, test acc: 0.986735, test avg acc: 0.986914, test iou: 0.973512
